codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
80696;PRAQK;Sem Categoria;AVIAO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOELICE;BIMOTOR;23000;23000;75;2013;BRASIL;BRASIL;AVIAO;REGULAR;GUARARAPES - GILBERTO FREYRE;PRESIDENTE JOAO SUASSUNA;CRUZEIRO;REGULAR;NENHUM;0
80695;PRAKF;Sem Categoria;AVIAO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT73;TURBOELICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIAO;REGULAR;AFONSO PENA;SILVIO NAME JUNIOR;SUBIDA;REGULAR;NENHUM;0
80693;PTWZL;Sem Categoria;AVIAO;PIPER AIRCRAFT;PA-25-235;PA25;PISTAO;MONOMOTOR;1315;1315;1;1968;BRASIL;BRASIL;AVIAO;AGRICOLA;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;AGRICOLA;NENHUM;0
81060;PRTYT;Sem Categoria;AVIAO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;78000;78000;0;2015;BRASIL;BRASIL;AVIAO;REGULAR;EURICO DE AGUIAR SALLES;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;REGULAR;LEVE;0
81046;PRJBD;Sem Categoria;AVIAO;CESSNA AIRCRAFT;152;C152;PISTAO;MONOMOTOR;757;757;2;1980;BRASIL;BRASIL;AVIAO;INSTRUCAO;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;CORRIDA APOS POUSO;PRIVADA;LEVE;0
81045;PTENZ;Sem Categoria;AVIAO;EMBRAER;EMB-810C;PA34;PISTAO;BIMOTOR;2073;2073;7;1977;BRASIL;BRASIL;AVIAO;PARTICULAR;AERODROMO NACIONAL DE AVIACAO;AERODROMO NACIONAL DE AVIACAO;CORRIDA APOS POUSO;PRIVADA;LEVE;0
81044;PTWOE;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTAO;BIMOTOR;2155;2155;6;1993;BRASIL;BRASIL;AVIAO;NAO REGULAR;ESTANCIA CAIMAN;CAMPO GRANDE;CORRIDA APOS POUSO;TAXI AEREO;LEVE;0
81041;PRGGL;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2009;BRASIL;BRASIL;AVIAO;REGULAR;SANTA GENOVEVA/GOIANIA;DEPUTADO LUIS EDUARDO MAGALHAES;DECOLAGEM;REGULAR;LEVE;0
81029;PTVMB;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTAO;BIMOTOR;2155;2155;4;1990;BRASIL;BRASIL;AVIAO;PARTICULAR;JACAREPAGUA;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CORRIDA APOS POUSO;PRIVADA;LEVE;0
80686;PUEMJ;Sem Categoria;ULTRALEVE;FABRICANTE DESCONHECIDO;CONQUEST 180;ULAC;PISTAO;MONOMOTOR;750;750;2;2009;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;TRES LAGOAS;TRES LAGOAS;CORRIDA APOS POUSO;PRIVADA;LEVE;0
81028;PTOEZ;Sem Categoria;AVIAO;CESSNA AIRCRAFT;210N;C210;PISTAO;MONOMOTOR;1724;1724;6;1981;BRASIL;BRASIL;AVIAO;PARTICULAR;TENENTE-CORONEL AVIADOR CESAR BOMBONATO;MARIO DE ALMEIDA FRANCO;CORRIDA APOS POUSO;PRIVADA;LEVE;0
80684;PRAKC;Sem Categoria;AVIAO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOELICE;BIMOTOR;23000;23000;77;2015;BRASIL;BRASIL;AVIAO;REGULAR;AFONSO PENA;NAO IDENTIFICADO;SUBIDA;REGULAR;NENHUM;0
80683;PRAXT;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2013;BRASIL;BRASIL;AVIAO;REGULAR;VIRACOPOS;SANTOS DUMONT;DESCIDA;REGULAR;NENHUM;0
80682;PTVLF;Sem Categoria;AVIAO;EMBRAER;EMB-810D;PA34;PISTAO;BIMOTOR;2155;2155;6;1989;BRASIL;BRASIL;AVIAO;PARTICULAR;NANUQUE;JOAO MONTEIRO;CORRIDA APOS POUSO;PRIVADA;NENHUM;0
80680;PRYJB;Sem Categoria;Desconhecida;AIRBUS INDUSTRIE;A321-251NX;A21N;JATO;BIMOTOR;93500;93500;214;0;BRASIL;BRASIL;Nao Informado;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;GUARARAPES - GILBERTO FREYRE;SUBIDA;REGULAR;NENHUM;0
80678;PRYYE;Sem Categoria;AVIAO;AIRBUS;A320-251N;A20N;Nao Informado;Nao Informado;0;0;0;2017;BRASIL;BRASIL;AVIAO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;GUARARAPES - GILBERTO FREYRE;CRUZEIRO;REGULAR;NENHUM;0
80677;PRYRB;Sem Categoria;AVIAO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;182;2016;BRASIL;BRASIL;AVIAO;REGULAR;SANTA GENOVEVA/GOIANIA;VIRACOPOS;DESCIDA;REGULAR;NENHUM;0
80676;PSRJJ;Sem Categoria;AVIAO;PIPER AIRCRAFT;PA-46-600TP;P46T;TURBOELICE;MONOMOTOR;2722;2722;7;2017;BRASIL;BRASIL;AVIAO;PARTICULAR;COSTA ESMERALDA;PRIMAVERA DO LESTE;CRUZEIRO;PRIVADA;NENHUM;0
80675;PTLJH;Sem Categoria;AVIAO;CESSNA AIRCRAFT;210N;C210;PISTAO;MONOMOTOR;1724;1724;6;1980;BRASIL;BRASIL;AVIAO;PARTICULAR;COSTA ESMERALDA;14 BIS;DESCIDA;PRIVADA;NENHUM;0
81027;PPMIX;Sem Categoria;AVIAO;BOMBARDIER;LEARJET 45(75);Nao Informado;JATO;SEM TRACAO;9752;9752;0;0;BRASIL;BRASIL;AVIAO;PARTICULAR;CATARATAS;CONGONHAS;CORRIDA APOS POUSO;PRIVADA;LEVE;0
